question_id	question_rank	document_title	paragraph_index
85	1	Aspirated_consonant	8
85	2	Catalan_language	74
85	3	Aspirated_consonant	18
85	4	Estonian_language	2
85	5	Old_English	6
88	1	Sexual_orientation	12
88	2	New_Delhi	44
88	3	A_cappella	19
88	4	Affirmative_action_in_the_United_States	25
88	5	Affirmative_action_in_the_United_States	47
91	1	Capital_punishment_in_the_United_States	23
91	2	Cyprus	37
91	3	Cyprus	42
91	4	Federalism	8
91	5	Egypt	15
94	1	Serbo-Croatian	21
94	2	Catalan_language	59
94	3	Catalan_language	23
94	4	Greece	58
94	5	Dialect	37
97	1	Buddhism	64
97	2	Idealism	4
97	3	MP3	59
97	4	Emotion	1
97	5	Gene	51
100	1	Qing_dynasty	0
100	2	Qing_dynasty	50
100	3	Han_dynasty	5
100	4	Han_dynasty	0
100	5	Sino-Tibetan_relations_during_the_Ming_dynasty	8
103	1	Czech_language	21
103	2	Montana	35
103	3	Pope_Paul_VI	6
103	4	Seven_Years%27_War	60
103	5	Bermuda	22
106	1	Gymnastics	21
106	2	American_Idol	92
106	3	Alps	19
106	4	Mammal	11
106	5	Flowering_plant	3
109	1	Sino-Tibetan_relations_during_the_Ming_dynasty	60
109	2	Sino-Tibetan_relations_during_the_Ming_dynasty	34
109	3	Sino-Tibetan_relations_during_the_Ming_dynasty	35
109	4	Sino-Tibetan_relations_during_the_Ming_dynasty	15
109	5	Modern_history	6
112	1	Southampton	89
112	2	Queen_(band)	33
112	3	Queen_Victoria	36
112	4	Elizabeth_II	29
112	5	Queen_(band)	53
115	1	Symbiosis	2
115	2	Dog	41
115	3	Comcast	9
115	4	Presbyterianism	24
115	5	Geological_history_of_Earth	22
118	1	Vacuum	20
118	2	Arnold_Schwarzenegger	14
118	3	Genome	20
118	4	Animal	12
118	5	Endangered_Species_Act	15
121	1	Zinc	2
121	2	Zinc	6
121	3	Zinc	8
121	4	Zinc	31
121	5	Zinc	22
124	1	Bird_migration	8
124	2	Catalan_language	69
124	3	Aspirated_consonant	17
124	4	The_Blitz	17
124	5	British_Empire	27
127	1	Lighting	50
127	2	Aircraft_carrier	24
127	3	Energy	10
127	4	Education	24
127	5	Database	23
130	1	Bird_migration	52
130	2	Bird	54
130	3	Bird	24
130	4	Bird	2
130	5	Bird	6
133	1	Southampton	12
133	2	Edmund_Burke	28
133	3	Umayyad_Caliphate	0
133	4	Samoa	3
133	5	Detroit	7
136	1	Electric_motor	25
136	2	Montana	39
136	3	Federal_Bureau_of_Investigation	32
136	4	Royal_assent	9
136	5	Mammal	15
139	1	To_Kill_a_Mockingbird	10
139	2	To_Kill_a_Mockingbird	6
139	3	Muammar_Gaddafi	65
139	4	Buddhism	6
139	5	Dog	5
142	1	Atlantic_City,_New_Jersey	12
142	2	Beyoncé	12
142	3	Genocide	12
142	4	Royal_Dutch_Shell	23
142	5	Dwight_D._Eisenhower	49
145	1	Buddhism	114
145	2	Tibet	11
145	3	Kathmandu	50
145	4	Sino-Tibetan_relations_during_the_Ming_dynasty	71
145	5	Buddhism	109
148	1	Southampton	5
148	2	The_Times	38
148	3	Catalan_language	51
148	4	The_Sun_(United_Kingdom)	10
148	5	Estonia	68
151	1	Atlantic_City,_New_Jersey	12
151	2	Beyoncé	12
151	3	Genocide	12
151	4	Royal_Dutch_Shell	23
151	5	Dwight_D._Eisenhower	49
154	1	Gene	23
154	2	Database	9
154	3	Communication	6
154	4	Richard_Feynman	17
154	5	Super_Nintendo_Entertainment_System	9
157	1	Quran	23
157	2	Phonology	4
157	3	Quran	30
157	4	Textual_criticism	24
157	5	Textual_criticism	19
160	1	St._John%27s,_Newfoundland_and_Labrador	29
160	2	North_Carolina	60
160	3	Airport	22
160	4	Bermuda	36
160	5	Bras%C3%ADlia	21
163	1	Oklahoma	5
163	2	North_Carolina	1
163	3	Oklahoma	6
163	4	Geography_of_the_United_States	6
163	5	Animal	4
166	1	Comics	6
166	2	The_Times	50
166	3	New_York_City	107
166	4	On_the_Origin_of_Species	22
166	5	New_York_City	35
169	1	Muammar_Gaddafi	60
169	2	Muammar_Gaddafi	68
169	3	Muammar_Gaddafi	59
169	4	Muammar_Gaddafi	56
169	5	Muammar_Gaddafi	61
172	1	National_Archives_and_Records_Administration	3
172	2	Josip_Broz_Tito	48
172	3	Edmund_Burke	1
172	4	Lancashire	7
172	5	Aspirated_consonant	21
175	1	Financial_crisis_of_2007%E2%80%9308	57
175	2	Szlachta	24
175	3	Szlachta	59
175	4	Pesticide	3
175	5	Protestantism	56
178	1	New_Haven,_Connecticut	65
178	2	New_Haven,_Connecticut	62
178	3	New_Haven,_Connecticut	64
178	4	New_Haven,_Connecticut	6
178	5	New_Haven,_Connecticut	2
181	1	Lancashire	8
181	2	Southampton	24
181	3	Estonia	27
181	4	Somerset	1
181	5	Lancashire	16
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	14
184	3	Armenia	19
184	4	Russian_Soviet_Federative_Socialist_Republic	16
184	5	Russian_Soviet_Federative_Socialist_Republic	28
187	1	Catalan_language	76
187	2	Catalan_language	71
187	3	Catalan_language	73
187	4	Catalan_language	30
187	5	New_Delhi	45
190	1	Cotton	16
190	2	Cotton	15
190	3	Cotton	17
190	4	Cotton	7
190	5	Cotton	27
193	1	Plymouth	58
193	2	Namibia	30
193	3	Plymouth	42
193	4	Religion_in_ancient_Rome	77
193	5	Alaska	44
196	1	Zhejiang	36
196	2	2008_Summer_Olympics_torch_relay	57
196	3	Hokkien	6
196	4	Multiracial_American	26
196	5	Korean_War	3
199	1	Arena_Football_League	34
199	2	San_Diego	3
199	3	San_Diego	27
199	4	San_Diego	29
199	5	Myanmar	16
202	1	Adolescence	11
202	2	Idealism	16
202	3	Buddhism	28
202	4	Identity_(social_science)	18
202	5	Idealism	18
205	1	Westminster_Abbey	33
205	2	Alexander_Graham_Bell	31
205	3	Alexander_Graham_Bell	58
205	4	Alexander_Graham_Bell	33
205	5	Alexander_Graham_Bell	26
208	1	New_Delhi	33
208	2	Nanjing	52
208	3	Alaska	46
208	4	Charleston,_South_Carolina	31
208	5	Seattle	37
211	1	Textual_criticism	29
211	2	Montana	3
211	3	Old_English	5
211	4	Napoleon	87
211	5	Insect	31
214	1	Institute_of_technology	59
214	2	John_von_Neumann	35
214	3	Tennessee	35
214	4	Financial_crisis_of_2007%E2%80%9308	26
214	5	MP3	42
217	1	Royal_Institute_of_British_Architects	20
217	2	New_York_City	139
217	3	Gothic_architecture	0
217	4	Architecture	12
217	5	Cubism	30
220	1	Atlantic_City,_New_Jersey	12
220	2	Beyoncé	12
220	3	Genocide	12
220	4	Royal_Dutch_Shell	23
220	5	Dwight_D._Eisenhower	49
223	1	Czech_language	21
223	2	Korean_War	45
223	3	Arnold_Schwarzenegger	73
223	4	2008_Summer_Olympics_torch_relay	59
223	5	Communications_in_Somalia	16
226	1	Sony_Music_Entertainment	7
226	2	Southampton	38
226	3	The_Times	34
226	4	Daylight_saving_time	26
226	5	House_music	22
229	1	Crucifixion_of_Jesus	8
229	2	Crucifixion_of_Jesus	3
229	3	Christian	10
229	4	Crucifixion_of_Jesus	20
229	5	Crucifixion_of_Jesus	1
232	1	Materialism	6
232	2	BeiDou_Navigation_Satellite_System	12
232	3	Pitch_(music)	5
232	4	2008_Summer_Olympics_torch_relay	55
232	5	American_Idol	69
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	Plymouth	27
235	3	Old_English	3
235	4	Catalan_language	72
235	5	New_Haven,_Connecticut	13
238	1	Southampton	89
238	2	Queen_(band)	33
238	3	Elizabeth_II	12
238	4	East_India_Company	28
238	5	Queen_Victoria	36
241	1	USB	21
241	2	USB	24
241	3	USB	15
241	4	USB	30
241	5	USB	63
244	1	Department_store	22
244	2	British_Isles	28
244	3	Presbyterianism	22
244	4	British_Isles	3
244	5	Dell	38
247	1	Atlantic_City,_New_Jersey	12
247	2	Beyoncé	12
247	3	Genocide	12
247	4	Royal_Dutch_Shell	23
247	5	Dwight_D._Eisenhower	49
250	1	Cyprus	41
250	2	Madonna_(entertainer)	4
250	3	Alexander_Graham_Bell	0
250	4	Dog	14
250	5	Antarctica	39
253	1	Translation	11
253	2	Translation	25
253	3	Textual_criticism	1
253	4	Compact_disc	15
253	5	Old_English	5
256	1	Aspirated_consonant	13
256	2	Institute_of_technology	59
256	3	Affirmative_action_in_the_United_States	39
256	4	Madrasa	14
256	5	Eton_College	10
259	1	Atlantic_City,_New_Jersey	12
259	2	Beyoncé	12
259	3	Genocide	12
259	4	Royal_Dutch_Shell	23
259	5	Dwight_D._Eisenhower	49
262	1	Gene	4
262	2	Cardinal_(Catholicism)	17
262	3	Group_(mathematics)	6
262	4	Alfred_North_Whitehead	16
262	5	Karl_Popper	21
265	1	God	22
265	2	Professional_wrestling	21
265	3	Aspirated_consonant	1
265	4	Renewable_energy_commercialization	23
265	5	Frédéric_Chopin	75
268	1	Presbyterianism	26
268	2	Infection	7
268	3	Canadian_Armed_Forces	41
268	4	Capacitor	27
268	5	Professional_wrestling	16
271	1	Mexico_City	65
271	2	Mexico_City	24
271	3	Mexico_City	0
271	4	Mexico_City	73
271	5	Chihuahua_(state)	37
274	1	Atlantic_City,_New_Jersey	12
274	2	Beyoncé	12
274	3	Genocide	12
274	4	Royal_Dutch_Shell	23
274	5	Dwight_D._Eisenhower	49
277	1	Atlantic_City,_New_Jersey	12
277	2	Beyoncé	12
277	3	Genocide	12
277	4	Royal_Dutch_Shell	23
277	5	Dwight_D._Eisenhower	49
280	1	Atlantic_City,_New_Jersey	12
280	2	Beyoncé	12
280	3	Genocide	12
280	4	Royal_Dutch_Shell	23
280	5	Dwight_D._Eisenhower	49
283	1	Detroit	38
283	2	Detroit	78
283	3	Detroit	5
283	4	Detroit	39
283	5	Detroit	53
286	1	Dutch_Republic	15
286	2	East_India_Company	28
286	3	East_India_Company	24
286	4	East_India_Company	30
286	5	Modern_history	10
289	1	Cyprus	41
289	2	Madonna_(entertainer)	4
289	3	Alexander_Graham_Bell	0
289	4	Dog	14
289	5	Antarctica	39
292	1	Raleigh,_North_Carolina	9
292	2	Atlantic_City,_New_Jersey	0
292	3	Charleston,_South_Carolina	0
292	4	North_Carolina	52
292	5	North_Carolina	44
295	1	Antarctica	3
295	2	Biodiversity	20
295	3	BeiDou_Navigation_Satellite_System	31
295	4	Multiracial_American	37
295	5	Namibia	30
298	1	Cyprus	40
298	2	Alaska	44
298	3	Greece	77
298	4	Aspirated_consonant	30
298	5	Cyprus	0
